BT1:1
C1:1
C2:1
C22:1
C23:1
C24:1
C38:1
C40:1
C42:1
C43:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
H1:1
R1:1
SW1:1
U1:1
U2:1
U3:1
U7:1
